Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,74.059997559,75.150001526,73.797500610,75.087501526,73.152656555,135480400
1/3/2020,74.287498474,75.144996643,74.125000000,74.357498169,72.441452026,146322800
1/6/2020,73.447502136,74.989997864,73.187500000,74.949996948,73.018699646,118387200
1/7/2020,74.959999084,75.224998474,74.370002747,74.597503662,72.675270081,108872000
1/8/2020,74.290000916,76.110000610,74.290000916,75.797500610,73.844360352,132079200
1/9/2020,76.809997559,77.607498169,76.550003052,77.407501221,75.412857056,170108400
1/10/2020,77.650001526,78.167503357,77.062500000,77.582496643,75.583351135,140644800
1/13/2020,77.910003662,79.267501831,77.787498474,79.239997864,77.198158264,121532000
1/14/2020,79.175003052,79.392501831,78.042503357,78.169998169,76.155715942,161954400
1/15/2020,77.962501526,78.875000000,77.387496948,77.834999084,75.829345703,121923600
1/16/2020,78.397499084,78.925003052,78.022499084,78.809997559,76.779220581,108829200
1/17/2020,79.067497253,79.684997559,78.750000000,79.682502747,77.629249573,137816400
1/21/2020,79.297500610,79.754997253,79.000000000,79.142501831,77.103164673,110843200
1/22/2020,79.644996643,79.997497559,79.327499390,79.425003052,77.378379822,101832400
1/23/2020,79.480003357,79.889999390,78.912498474,79.807502747,77.751022339,104472000
1/24/2020,80.062500000,80.832496643,79.379997253,79.577499390,77.526947021,146537600
1/27/2020,77.514999390,77.942497253,76.220001221,77.237503052,75.247245789,161940000
1/28/2020,78.150001526,79.599998474,78.047500610,79.422500610,77.375946045,162234000
1/29/2020,81.112503052,81.962501526,80.345001221,81.084999084,78.995597839,216229200
1/30/2020,80.135002136,81.022499084,79.687500000,80.967498779,78.881141663,126743200
1/31/2020,80.232498169,80.669998169,77.072502136,77.377502441,75.383636475,199588400
2/3/2020,76.074996948,78.372497559,75.555000305,77.165000916,75.176612854,173788400
2/4/2020,78.827499390,79.910003662,78.407501221,79.712501526,77.658470154,136616400
2/5/2020,80.879997253,81.190002441,79.737503052,80.362503052,78.291732788,118826800
2/6/2020,80.642501831,81.305000305,80.065002441,81.302497864,79.207496643,105425600
2/7/2020,80.592498779,80.849998474,79.500000000,80.007499695,78.130859375,117684000
2/10/2020,78.544998169,80.387496948,78.462501526,80.387496948,78.501930237,109348800
2/11/2020,80.900001526,80.974998474,79.677497864,79.902496338,78.028320313,94323200
2/12/2020,80.367500305,81.805000305,80.367500305,81.800003052,79.881324768,113730400
2/13/2020,81.047500610,81.555000305,80.837501526,81.217498779,79.312469482,94747600
2/14/2020,81.184997559,81.495002747,80.712501526,81.237503052,79.332015991,80113600
2/18/2020,78.839996338,79.937500000,78.652496338,79.750000000,77.879409790,152531200
2/19/2020,80.000000000,81.142501831,80.000000000,80.904998779,79.007316589,93984000
2/20/2020,80.657501221,81.162498474,79.552497864,80.074996948,78.196769714,100566000
2/21/2020,79.654998779,80.112503052,77.625000000,78.262496948,76.426773071,129554000
2/24/2020,74.315002441,76.044998169,72.307502747,74.544998169,72.796493530,222195200
2/25/2020,75.237503052,75.632499695,71.532501221,72.019996643,70.330711365,230673600
2/26/2020,71.632499695,74.470001221,71.625000000,73.162498474,71.446403503,198054800
2/27/2020,70.275001526,71.500000000,68.239997864,68.379997253,66.776084900,320605600
2/28/2020,64.315002441,69.602500916,64.092498779,68.339996338,66.737014771,426510000
3/2/2020,70.569999695,75.360000610,69.430000305,74.702499390,72.950294495,341397200
3/3/2020,75.917503357,76.000000000,71.449996948,72.330001831,70.633445740,319475600
3/4/2020,74.110000610,75.849998474,73.282501221,75.684997559,73.909744263,219178400
