Year,Age Group,Sex,"Death Rate Per 100,000"
1970,0-6 days,Male,318292.90
1970,0-6 days,Female,219544.20
1970,0-6 days,Both,270200.70
1970,7-27 days,Male,92701.00
1970,7-27 days,Female,68594.50
1970,7-27 days,Both,80912.50
1970,28-364 days,Male,15040.10
1970,28-364 days,Female,13411.80
1970,28-364 days,Both,14242.60
1970,1-4 years,Male,4288.20
1970,1-4 years,Female,4022.90
1970,1-4 years,Both,4158.60
1970,5-9 years,Male,396.20
1970,5-9 years,Female,306.00
1970,5-9 years,Both,352.70
1970,10-14 years,Male,230.80
1970,10-14 years,Female,262.30
1970,10-14 years,Both,245.90
1970,15-19 years,Male,282.90
1970,15-19 years,Female,324.70
1970,15-19 years,Both,302.80
1970,20-24 years,Male,392.90
1970,20-24 years,Female,508.40
1970,20-24 years,Both,447.90
1970,25-29 years,Male,432.40
1970,25-29 years,Female,673.70
1970,25-29 years,Both,547.00
1970,30-34 years,Male,510.10
1970,30-34 years,Female,779.00
1970,30-34 years,Both,637.40
1970,35-39 years,Male,670.00
1970,35-39 years,Female,1117.10
1970,35-39 years,Both,881.60
1970,40-44 years,Male,918.40
1970,40-44 years,Female,1163.30
1970,40-44 years,Both,1035.00
1970,45-49 years,Male,1343.30
1970,45-49 years,Female,1405.40
1970,45-49 years,Both,1373.20
1970,50-54 years,Male,2016.00
1970,50-54 years,Female,1950.90
1970,50-54 years,Both,1984.20
1970,55-59 years,Male,2862.90
1970,55-59 years,Female,2624.80
1970,55-59 years,Both,2744.70
1970,60-64 years,Male,4229.20
1970,60-64 years,Female,4449.70
1970,60-64 years,Both,4340.10
1970,65-69 years,Male,5870.40
1970,65-69 years,Female,6528.50
1970,65-69 years,Both,6205.60
1970,70-74 years,Male,8509.70
1970,70-74 years,Female,10276.80
1970,70-74 years,Both,9419.70
1970,75-79 years,Male,12048.40
1970,75-79 years,Female,14608.50
1970,75-79 years,Both,13381.80
1970,80+ years,Male,18534.80
1970,80+ years,Female,21197.10
1970,80+ years,Both,19951.40
1970,All ages,Male,2470.80
1970,All ages,Female,2390.80
1970,All ages,Both,2432.30
1980,0-6 days,Male,235901.00
1980,0-6 days,Female,167053.30
1980,0-6 days,Both,202403.90
1980,7-27 days,Male,63362.90
1980,7-27 days,Female,48823.20
1980,7-27 days,Both,56266.30
1980,28-364 days,Male,10792.30
1980,28-364 days,Female,9507.60
1980,28-364 days,Both,10164.70
1980,1-4 years,Male,2713.30
1980,1-4 years,Female,2540.70
1980,1-4 years,Both,2629.20
1980,5-9 years,Male,304.00
1980,5-9 years,Female,236.40
1980,5-9 years,Both,271.40
1980,10-14 years,Male,321.00
1980,10-14 years,Female,294.50
1980,10-14 years,Both,308.30
1980,15-19 years,Male,443.50
1980,15-19 years,Female,397.70
1980,15-19 years,Both,421.60
1980,20-24 years,Male,599.10
1980,20-24 years,Female,586.90
1980,20-24 years,Both,593.30
1980,25-29 years,Male,648.60
1980,25-29 years,Female,759.10
1980,25-29 years,Both,701.00
1980,30-34 years,Male,751.20
1980,30-34 years,Female,882.80
1980,30-34 years,Both,813.50
