Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales, COGS ,Profit,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 ", $-   ,32370.00," $16,185.00 ",16185.00,1/1/2014,1, January ,2014
Government,Germany, Carretera , None ,1321, $3.00 , $20.00 ," $26,420.00 ", $-   ,26420.00," $13,210.00 ",13210.00,1/1/2014,1, January ,2014
Midmarket,France, Carretera , None ,2178, $3.00 , $15.00 ," $32,670.00 ", $-   ,32670.00," $21,780.00 ",10890.00,6/1/2014,6, June ,2014
Midmarket,Germany, Carretera , None ,888, $3.00 , $15.00 ," $13,320.00 ", $-   ,13320.00," $8,880.00 ",4440.00,6/1/2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,2470, $3.00 , $15.00 ," $37,050.00 ", $-   ,37050.00," $24,700.00 ",12350.00,6/1/2014,6, June ,2014
Government,Germany, Carretera , None ,1513, $3.00 , $350.00 ," $529,550.00 ", $-   ,529550.00," $393,380.00 ",136170.00,12/1/2014,12, December ,2014
Midmarket,Germany, Montana , None ,921, $5.00 , $15.00 ," $13,815.00 ", $-   ,13815.00," $9,210.00 ",4605.00,3/1/2014,3, March ,2014
Channel Partners,Canada, Montana , None ,2518, $5.00 , $12.00 ," $30,216.00 ", $-   ,30216.00," $7,554.00 ",22662.00,6/1/2014,6, June ,2014
Government,France, Montana , None ,1899, $5.00 , $20.00 ," $37,980.00 ", $-   ,37980.00," $18,990.00 ",18990.00,6/1/2014,6, June ,2014
Channel Partners,Germany, Montana , None ,1545, $5.00 , $12.00 ," $18,540.00 ", $-   ,18540.00," $4,635.00 ",13905.00,6/1/2014,6, June ,2014
Midmarket,Mexico, Montana , None ,2470, $5.00 , $15.00 ," $37,050.00 ", $-   ,37050.00," $24,700.00 ",12350.00,6/1/2014,6, June ,2014
Enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $333,187.50 ", $-   ,333187.50," $319,860.00 ",13327.50,7/1/2014,7, July ,2014
Small Business,Mexico, Montana , None ,958, $5.00 , $300.00 ," $287,400.00 ", $-   ,287400.00," $239,500.00 ",47900.00,8/1/2014,8, August ,2014
Government,Germany, Montana , None ,2146, $5.00 , $7.00 ," $15,022.00 ", $-   ,15022.00," $10,730.00 ",4292.00,9/1/2014,9, September ,2014
Enterprise,Canada, Montana , None ,345, $5.00 , $125.00 ," $43,125.00 ", $-   ,43125.00," $41,400.00 ",1725.00,10/1/2013,10, October ,2013
Midmarket,United States of America, Montana , None ,615, $5.00 , $15.00 ," $9,225.00 ", $-   ,9225.00," $6,150.00 ",3075.00,12/1/2014,12, December ,2014
Government,Canada, Paseo , None ,292, $10.00 , $20.00 ," $5,840.00 ", $-   ,5840.00," $2,920.00 ",2920.00,2/1/2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,974, $10.00 , $15.00 ," $14,610.00 ", $-   ,14610.00," $9,740.00 ",4870.00,2/1/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,2518, $10.00 , $12.00 ," $30,216.00 ", $-   ,30216.00," $7,554.00 ",22662.00,6/1/2014,6, June ,2014
Government,Germany, Paseo , None ,1006, $10.00 , $350.00 ," $352,100.00 ", $-   ,352100.00," $261,560.00 ",90540.00,6/1/2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,367, $10.00 , $12.00 ," $4,404.00 ", $-   ,4404.00," $1,101.00 ",3303.00,7/1/2014,7, July ,2014
Government,Mexico, Paseo , None ,883, $10.00 , $7.00 ," $6,181.00 ", $-   ,6181.00," $4,415.00 ",1766.00,8/1/2014,8, August ,2014
Midmarket,France, Paseo , None ,549, $10.00 , $15.00 ," $8,235.00 ", $-   ,8235.00," $5,490.00 ",2745.00,9/1/2013,9, September ,2013
Small Business,Mexico, Paseo , None ,788, $10.00 , $300.00 ," $236,400.00 ", $-   ,236400.00," $197,000.00 ",39400.00,9/1/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,2472, $10.00 , $15.00 ," $37,080.00 ", $-   ,37080.00," $24,720.00 ",12360.00,9/1/2014,9, September ,2014
Government,United States of America, Paseo , None ,1143, $10.00 , $7.00 ," $8,001.00 ", $-   ,8001.00," $5,715.00 ",2286.00,10/1/2014,10, October ,2014
Government,Canada, Paseo , None ,1725, $10.00 , $350.00 ," $603,750.00 ", $-   ,603750.00," $448,500.00 ",155250.00,11/1/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,912, $10.00 , $12.00 ," $10,944.00 ", $-   ,10944.00," $2,736.00 ",8208.00,11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , None ,2152, $10.00 , $15.00 ," $32,280.00 ", $-   ,32280.00," $21,520.00 ",10760.00,12/1/2013,12, December ,2013
Government,Canada, Paseo , None ,1817, $10.00 , $20.00 ," $36,340.00 ", $-   ,36340.00," $18,170.00 ",18170.00,12/1/2014,12, December ,2014
Government,Germany, Paseo , None ,1513, $10.00 , $350.00 ," $529,550.00 ", $-   ,529550.00," $393,380.00 ",136170.00,12/1/2014,12, December ,2014
Government,Mexico, Velo , None ,1493, $120.00 , $7.00 ," $10,451.00 ", $-   ,10451.00," $7,465.00 ",2986.00,1/1/2014,1, January ,2014
Enterprise,France, Velo , None ,1804, $120.00 , $125.00 ," $225,500.00 ", $-   ,225500.00," $216,480.00 ",9020.00,2/1/2014,2, February ,2014
Channel Partners,Germany, Velo , None ,2161, $120.00 , $12.00 ," $25,932.00 ", $-   ,25932.00," $6,483.00 ",19449.00,3/1/2014,3, March ,2014
Government,Germany, Velo , None ,1006, $120.00 , $350.00 ," $352,100.00 ", $-   ,352100.00," $261,560.00 ",90540.00,6/1/2014,6, June ,2014
Channel Partners,Germany, Velo , None ,1545, $120.00 , $12.00 ," $18,540.00 ", $-   ,18540.00," $4,635.00 ",13905.00,6/1/2014,6, June ,2014
Enterprise,United States of America, Velo , None ,2821, $120.00 , $125.00 ," $352,625.00 ", $-   ,352625.00," $338,520.00 ",14105.00,8/1/2014,8, August ,2014
Enterprise,Canada, Velo , None ,345, $120.00 , $125.00 ," $43,125.00 ", $-   ,43125.00," $41,400.00 ",1725.00,10/1/2013,10, October ,2013
Small Business,Canada, VTT , None ,2001, $250.00 , $300.00 ," $600,300.00 ", $-   ,600300.00," $500,250.00 ",100050.00,2/1/2014,2, February ,2014
Channel Partners,Germany, VTT , None ,2838, $250.00 , $12.00 ," $34,056.00 ", $-   ,34056.00," $8,514.00 ",25542.00,4/1/2014,4, April ,2014
Midmarket,France, VTT , None ,2178, $250.00 , $15.00 ," $32,670.00 ", $-   ,32670.00," $21,780.00 ",10890.00,6/1/2014,6, June ,2014
Midmarket,Germany, VTT , None ,888, $250.00 , $15.00 ," $13,320.00 ", $-   ,13320.00," $8,880.00 ",4440.00,6/1/2014,6, June ,2014
Government,France, VTT , None ,1527, $250.00 , $350.00 ," $534,450.00 ", $-   ,534450.00," $397,020.00 ",137430.00,9/1/2013,9, September ,2013
Small Business,France, VTT , None ,2151, $250.00 , $300.00 ," $645,300.00 ", $-   ,645300.00," $537,750.00 ",107550.00,9/1/2014,9, September ,2014
Government,Canada, VTT , None ,1817, $250.00 , $20.00 ," $36,340.00 ", $-   ,36340.00," $18,170.00 ",18170.00,12/1/2014,12, December ,2014
Government,France, Amarilla , None ,2750, $260.00 , $350.00 ," $962,500.00 ", $-   ,962500.00," $715,000.00 ",247500.00,2/1/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,1953, $260.00 , $12.00 ," $23,436.00 ", $-   ,23436.00," $5,859.00 ",17577.00,4/1/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,4219.5, $260.00 , $125.00 ," $527,437.50 ", $-   ,527437.50," $506,340.00 ",21097.50,4/1/2014,4, April ,2014
